campus,nível,nome do curso,modalidade,turno,alunos matriculados
Campus Alegrete,Graduação,Ciência da Computação,Bacharelado,Noturno,149
Campus Alegrete,Graduação,Engenharia Agrícola,Bacharelado,Integral,180
Campus Alegrete,Graduação,Engenharia Civil,Bacharelado,Integral,278
Campus Alegrete,Graduação,Engenharia de Software,Bacharelado,Noturno,146
Campus Alegrete,Graduação,Engenharia de Telecomunicações,Bacharelado,Integral,92
Campus Alegrete,Graduação,Engenharia Elétrica,Bacharelado,Integral,205
Campus Alegrete,Graduação,Engenharia Mecânica,Bacharelado,Integral,227
Campus Alegrete,Pós-Graduação,ESPECIALIZAÇÃO EM ENGENHARIA ECONÔMICA,Especialização,Integral,26
Campus Alegrete,Pós-Graduação,Mestrado em Engenharia Elétrica,Mestrado,Integral,17
Campus Alegrete,Pós-Graduação,Mestrado em Engenharias,Mestrado,Integral,29
Campus Bagé,Graduação,Engenharia de Alimentos,Bacharelado,Integral,108
Campus Bagé,Graduação,Engenharia de Computação,Bacharelado,Noturno,193
Campus Bagé,Graduação,Engenharia de Energias Renováveis e Ambiente,Bacharelado,Integral,161
Campus Bagé,Graduação,Engenharia de Produção,Bacharelado,Noturno,245
Campus Bagé,Graduação,Engenharia Química,Bacharelado,Integral,251
Campus Bagé,Graduação,Física,Licenciatura Plena,Integral,99
Campus Bagé,Graduação,Letras - Habilitação Português e Literaturas de Língua Portuguesa,Licenciatura Plena,Noturno,44
Campus Bagé,Graduação,Letras - Habilitação Português/Espanhol e Respectivas Literaturas,Licenciatura Plena,Noturno,23
Campus Bagé,Graduação,Letras - Habilitação Português/Inglês e Respectivas Literaturas,Licenciatura Plena,Noturno,29
Campus Bagé,Graduação,Letras - Línguas Adicionais: Inglês Espanhol e Respectivas Literaturas,Licenciatura Plena,Integral,89
Campus Bagé,Graduação,Letras - Português e Literaturas da Língua Portuguesa,Licenciatura Plena,Noturno,103
Campus Bagé,Graduação,Matemática,Licenciatura Plena,Noturno,157
Campus Bagé,Graduação,Música,Licenciatura Plena,Integral,62
Campus Bagé,Graduação,Química,Licenciatura Plena,Integral,98
Campus Bagé,Pós-Graduação,Mestrado Profissional em Ensino de Ciências,Mestrado,Integral,45
Campus Bagé,Pós-Graduação,Mestrado Profissional em Ensino de Línguas,Mestrado,Integral,31
Campus Caçapava do Sul,Graduação,Ciências Exatas,Licenciatura Plena,Integral,94
Campus Caçapava do Sul,Graduação,Engenharia Ambiental e Sanitária,Bacharelado,Integral,115
Campus Caçapava do Sul,Graduação,Geofísica,Bacharelado,Integral,87
Campus Caçapava do Sul,Graduação,Geologia,Bacharelado,Integral,194
Campus Caçapava do Sul,Graduação,Mineração,Tecnológico,Noturno,100
